	numDishTags	numDishTagsWithSnippets	rid
0	0	0	110557
1	0	0	73399
2	0	0	11542
3	0	0	11545
4	0	0	11548
5	0	0	5988
6	3	3	5989
7	0	0	19399
8	0	0	19396
9	3	0	5980
10	0	0	5986
11	0	0	5985
12	0	0	103549
13	0	0	73393
14	0	0	103540
15	0	0	103543
16	0	0	82447
17	2	1	57484
18	0	0	82990
19	0	0	88396
20	0	0	36709
21	0	0	46138
22	0	0	82999
23	0	0	46135
24	0	0	46132
25	0	0	102811
26	3	0	97150
27	0	0	97156
28	0	0	102814
29	0	0	89377
30	3	3	271
31	3	2	274
32	0	0	16708
33	0	0	276
34	0	0	16705
35	0	0	80596
36	0	0	102817
37	0	0	16702
38	0	0	88021
39	0	0	12019
40	0	0	12018
41	0	0	88024
42	0	0	12010
43	3	3	12013
44	3	2	52468
45	0	0	100015
46	0	0	17251
47	3	3	17254
48	3	3	52465
49	0	0	100018
50	0	0	17257
51	0	0	63025
52	3	2	10708
53	0	0	46702
54	0	0	63022
55	0	0	10702
56	0	0	53731
57	0	0	95794
58	0	0	53737
59	3	2	10705
60	0	0	46792
61	0	0	21619
62	0	0	46795
63	0	0	49564
64	0	0	49567
65	0	0	21616
66	0	0	49561
67	0	0	21610
68	0	0	80272
69	3	3	69172
70	3	3	45448
71	3	3	69178
72	0	0	45445
73	0	0	45442
74	0	0	44791
75	0	0	19393
76	0	0	44797
77	3	3	20155
78	0	0	19390
79	3	2	46864
80	0	0	58072
81	0	0	90310
82	0	0	90313
83	0	0	90318
84	0	0	90319
85	0	0	112954
86	0	0	112957
87	0	0	118804
88	0	0	13051
89	0	0	13056
90	2	1	13057
91	0	0	13054
92	0	0	54172
93	0	0	54178
94	0	0	94540
95	0	0	94543
96	0	0	62089
97	0	0	94549
98	0	0	62080
99	0	0	62083
100	0	0	20251
101	0	0	20257
102	3	3	20254
103	0	0	40966
104	0	0	44425
105	0	0	29769
106	0	0	44422
107	0	0	40960
108	0	0	29764
109	0	0	29766
110	0	0	29761
111	0	0	29763
112	0	0	44428
113	0	0	1175
114	0	0	23509
115	3	3	1170
116	3	3	23506
117	0	0	23505
118	0	0	23502
119	0	0	1179
120	0	0	1178
121	0	0	27619
122	3	3	27616
123	0	0	27610
124	0	0	97939
125	0	0	59038
126	0	0	129235
127	0	0	59032
128	0	0	97933
129	0	0	97932
130	0	0	97935
131	0	0	59035
132	0	0	12834
133	0	0	65881
134	0	0	12838
135	0	0	65887
136	0	0	92262
137	0	0	92260
138	3	0	92265
139	3	2	66505
140	0	0	50419
141	3	3	66502
142	0	0	50413
143	0	0	50410
144	0	0	66508
145	0	0	55621
146	0	0	55627
147	0	0	55624
148	0	0	149929
149	0	0	52810
150	0	0	52813
151	0	0	52816
152	0	0	52819
153	0	0	149920
154	3	3	22675
155	3	0	22672
156	0	0	111547
157	0	0	111544
158	0	0	110497
159	0	0	107899
160	0	0	110494
161	0	0	60904
162	0	0	26569
163	0	0	26566
164	0	0	82996
165	0	0	26563
166	0	0	26560
167	3	3	15553
168	0	0	150169
169	0	0	75538
170	0	0	65266
171	0	0	150163
172	0	0	150160
173	3	3	392
174	0	0	394
175	3	2	398
176	0	0	92889
177	0	0	114442
178	0	0	48913
179	3	2	32224
180	0	0	32227
181	0	0	32221
182	0	0	104278
183	0	0	104275
184	0	0	3748
185	0	0	3749
186	2	2	3746
187	0	0	75286
188	0	0	98107
189	0	0	3745
190	0	0	3741
191	2	1	57661
192	3	3	99859
193	0	0	99850
194	0	0	105631
195	0	0	105634
196	0	0	105637
197	3	3	102940
198	0	0	102946
199	0	0	60019
200	0	0	60016
201	0	0	60010
202	0	0	60013
203	0	0	113149
204	0	0	113140
205	0	0	113143
206	0	0	21931
207	0	0	21934
208	0	0	21937
209	0	0	57085
210	0	0	57084
211	0	0	57082
212	0	0	99996
213	0	0	57088
214	0	0	6819
215	0	0	15709
216	0	0	102364
217	0	0	19975
218	0	0	6811
219	3	3	6810
220	0	0	15703
221	0	0	6815
222	3	3	6814
223	3	2	15706
224	0	0	6816
225	0	0	91956
226	0	0	24147
227	0	0	37306
228	3	0	24145
229	0	0	24142
230	0	0	37303
231	3	3	24148
232	0	0	112234
233	0	0	112237
234	0	0	112231
235	0	0	59959
236	3	0	37078
237	0	0	59953
238	0	0	59956
239	0	0	94336
240	0	0	37075
241	0	0	138985
242	0	0	138982
243	0	0	68344
244	0	0	68347
245	0	0	138988
246	0	0	67378
247	0	0	67375
248	0	0	67372
249	0	0	108106
250	0	0	108100
251	0	0	108103
252	0	0	108109
